"","x"
"1","Joel Parkinson"
"2","Michel Bourez"
"3","Josh Kerr"
"4","Nat Young"
"5","Taj Burrow"
"6","C.J. Hobgood"
"7","Julian Wilson"
"8","Mick Fanning"
"9","John John Florence"
"10","Kelly Slater"
"11","Adriano de Souza"
"12","Freddy Patacchia Jr."
"13","Miguel Pupo"
"14","Adrian Buchan"
"15","Damien Hobgood"
"16","Filipe Toledo"
"17","Sebastian Zietz"
"18","Yadin Nicol"
"19","Jeremy Flores"
"20","Kai Otton"
"21","Matt Wilkinson"
"22","Gabriel Medina"
"23","Jordy Smith"
"24","Jack Robinson"
"25","Bruce Irons"
"26","Dusty Payne"
"27","Willian Cardoso"
"28","Kieren Perrow"
"29","Raoni Monteiro"
"30","Adam Melling"
"31","Alejo Muniz"
"32","Bede Durbidge"
"33","Brett Simpson"
"34","Kolohe Andino"
"35","Travis Logie"
