"","x"
"1","Kelly Slater"
"2","Mick Fanning"
"3","Taj Burrow"
"4","Bobby Martinez"
"5","Adriano de Souza"
"6","Jordy Smith"
"7","Joel Parkinson"
"8","Bede Durbidge"
"9","Freddy Patacchia Jr."
"10","Andy Irons"
"11","Roy Powers"
"12","Tiago Pires"
"13","Adrian Buchan"
"14","Jadson Andre"
"15","Luke Stedman"
"16","Michel Bourez"
"17","Brett Simpson"
"18","Patrick Gudauskas"
"19","Kai Otton"
"20","Matt Wilkinson"
"21","Dane Reynolds"
"22","Owen Wright"
"23","Daniel Ross"
"24","Gabriel Medina"
"25","Neco Padaratz"
"26","Jeremy Flores"
"27","Drew Courtney"
"28","Taylor Knox"
"29","Tanner Gudauskas"
"30","Chris Davidson"
"31","Dusty Payne"
"32","Tom Whitaker"
"33","Stuart Kennedy"
"34","C.J. Hobgood"
"35","Damien Hobgood"
"36","Blake Thornton"
"37","Marco Polo"
"38","Travis Logie"
"39","Kieren Perrow"
"40","Dean Morrison"
"41","Nathan Yeomans"
"42","Jay Thompson"
"43","Adam Melling"
"44","Kekoa Bacalso"
"45","Mick Campbell"
"46","Luke Munro"
"47","Ben Dunn"
