"","x"
"1","Kelly Slater"
"2","Mick Fanning"
"3","John John Florence"
"4","C.J. Hobgood"
"5","Jordy Smith"
"6","Sebastian Zietz"
"7","Josh Kerr"
"8","Joel Parkinson"
"9","Jeremy Flores"
"10","Taj Burrow"
"11","Nat Young"
"12","Kolohe Andino"
"13","Freddy Patacchia Jr."
"14","Damien Hobgood"
"15","Kieren Perrow"
"16","Miguel Pupo"
"17","Kai Otton"
"18","Mitch Coleborn"
"19","Heitor Alves"
"20","Travis Logie"
"21","Brett Simpson"
"22","Julian Wilson"
"23","Matt Wilkinson"
"24","Yadin Nicol"
"25","Aca Ravulo"
"26","Adriano de Souza"
"27","Dusty Payne"
"28","Adam Melling"
"29","Glenn Hall"
"30","Gabriel Medina"
"31","Alejo Muniz"
"32","Michel Bourez"
"33","Adrian Buchan"
"34","Bede Durbidge"
"35","Filipe Toledo"
