"","x"
"1","Mick Fanning"
"2","Kelly Slater"
"3","Brett Simpson"
"4","Adrian Buchan"
"5","Daniel Ross"
"6","Michel Bourez"
"7","Kieren Perrow"
"8","Jordy Smith"
"9","Owen Wright"
"10","Taylor Knox"
"11","Jadson Andre"
"12","Tom Whitaker"
"13","Taj Burrow"
"14","Damien Hobgood"
"15","Dane Reynolds"
"16","Patrick Gudauskas"
"17","Chris Davidson"
"18","Julian Wilson"
"19","Gabe Kling"
"20","Jeremy Flores"
"21","Kai Otton"
"22","C.J. Hobgood"
"23","Freddy Patacchia Jr."
"24","Luke Munro"
"25","Maxime Huscenot"
"26","Bede Durbidge"
"27","Adriano de Souza"
"28","Travis Logie"
"29","Andy Irons"
"30","Bobby Martinez"
"31","Tiago Pires"
"32","Matt Wilkinson"
"33","Roy Powers"
"34","Dusty Payne"
"35","Luke Stedman"
"36","Adam Melling"
