"","x"
"1","Matt Wilkinson"
"2","Kolohe Andino"
"3","Filipe Toledo"
"4","Stuart Kennedy"
"5","Joel Parkinson"
"6","Adriano de Souza"
"7","Adrian Buchan"
"8","John John Florence"
"9","Caio Ibelli"
"10","Conner Coffin"
"11","Kanoa Igarashi"
"12","Sebastian Zietz"
"13","Ryan Callinan"
"14","Jadson Andre"
"15","Italo Ferreira"
"16","Josh Kerr"
"17","Taj Burrow"
"18","Mikey Wright"
"19","Mick Fanning"
"20","Wiggolly Dantas"
"21","Nat Young"
"22","Jeremy Flores"
"23","Michel Bourez"
"24","Gabriel Medina"
"25","Wade Carmichael"
"26","Julian Wilson"
"27","Kelly Slater"
"28","Adam Melling"
"29","Jordy Smith"
"30","Davey Cathels"
"31","Kai Otton"
"32","Alex Ribeiro"
"33","Keanu Asing"
"34","Miguel Pupo"
"35","Jack Freestone"
"36","Matt Banting"
