"","x"
"1","Kelly Slater"
"2","Bede Durbidge"
"3","Taj Burrow"
"4","Michel Bourez"
"5","Dane Reynolds"
"6","Adriano de Souza"
"7","Jordy Smith"
"8","Mick Fanning"
"9","Jeremy Flores"
"10","Taylor Knox"
"11","Owen Wright"
"12","Chris Davidson"
"13","Dusty Payne"
"14","C.J. Hobgood"
"15","Matt Wilkinson"
"16","Tiago Pires"
"17","Bobby Martinez"
"18","Gabe Kling"
"19","Freddy Patacchia Jr."
"20","Brett Simpson"
"21","Daniel Ross"
"22","Kieren Perrow"
"23","Roy Powers"
"24","Adrian Buchan"
"25","Damien Hobgood"
"26","Luke Munro"
"27","Jadson Andre"
"28","Travis Logie"
"29","Andy Irons"
"30","Luke Stedman"
"31","Kai Otton"
"32","Patrick Gudauskas"
"33","Tom Whitaker"
"34","Adam Melling"
