"","x"
"1","Jordy Smith"
"2","Mick Fanning"
"3","Adrian Buchan"
"4","Joel Parkinson"
"5","Damien Hobgood"
"6","Julian Wilson"
"7","Alejo Muniz"
"8","Josh Kerr"
"9","Bede Durbidge"
"10","Daniel Ross"
"11","Adam Melling"
"12","Michel Bourez"
"13","Jeremy Flores"
"14","Jadson Andre"
"15","Dusty Payne"
"16","Heitor Alves"
"17","Kieren Perrow"
"18","Travis Logie"
"19","Kai Otton"
"20","Matt Wilkinson"
"21","Owen Wright"
"22","Adriano de Souza"
"23","Tiago Pires"
"24","Taj Burrow"
"25","Gabe Kling"
"26","Freddy Patacchia Jr."
"27","Cory Lopez"
"28","Taylor Knox"
"29","Raoni Monteiro"
"30","Brett Simpson"
"31","Patrick Gudauskas"
"32","C.J. Hobgood"
"33","Chris Davidson"
"34","Bobby Martinez"
"35","Kelly Slater"
