"","x"
"1","Michel Bourez"
"2","Josh Kerr"
"3","Bede Durbidge"
"4","Kelly Slater"
"5","Jordy Smith"
"6","Gabriel Medina"
"7","Joel Parkinson"
"8","Nat Young"
"9","Miguel Pupo"
"10","Yadin Nicol"
"11","Filipe Toledo"
"12","Adriano de Souza"
"13","Taj Burrow"
"14","Adrian Buchan"
"15","Adam Melling"
"16","C.J. Hobgood"
"17","John John Florence"
"18","Mick Fanning"
"19","Jadson Andre"
"20","Kai Otton"
"21","Julian Wilson"
"22","Sebastian Zietz"
"23","Owen Wright"
"24","Kolohe Andino"
"25","Mitch Coleborn"
"26","Brett Simpson"
"27","Raoni Monteiro"
"28","Aritz Aranburu"
"29","Dion Atkinson"
"30","Travis Logie"
"31","Mitch Crews"
"32","Jeremy Flores"
"33","Matt Wilkinson"
"34","Freddy Patacchia Jr."
