"","x"
"1","Owen Wright"
"2","Kelly Slater"
"3","Taj Burrow"
"4","Alejo Muniz"
"5","Jadson Andre"
"6","Josh Kerr"
"7","Heitor Alves"
"8","Julian Wilson"
"9","Adriano de Souza"
"10","Jeremy Flores"
"11","Joel Parkinson"
"12","Freddy Patacchia Jr."
"13","Adam Melling"
"14","Patrick Gudauskas"
"15","Tiago Pires"
"16","Damien Hobgood"
"17","Raoni Monteiro"
"18","Bobby Martinez"
"19","Mick Fanning"
"20","Kieren Perrow"
"21","Adrian Buchan"
"22","Kai Otton"
"23","Brett Simpson"
"24","C.J. Hobgood"
"25","Keanu Asing"
"26","Bede Durbidge"
"27","Michel Bourez"
"28","Gabe Kling"
"29","Travis Logie"
"30","Cory Lopez"
"31","Matt Wilkinson"
"32","Chris Davidson"
"33","Taylor Knox"
"34","Daniel Ross"
"35","Dane Reynolds"
