"","x"
"1","Adriano de Souza"
"2","Gabriel Medina"
"3","Mick Fanning"
"4","Mason Ho"
"5","C.J. Hobgood"
"6","Kelly Slater"
"7","Adam Melling"
"8","Josh Kerr"
"9","John John Florence"
"10","Keanu Asing"
"11","Joel Parkinson"
"12","Jeremy Flores"
"13","Jordy Smith"
"14","Bede Durbidge"
"15","Italo Ferreira"
"16","Michel Bourez"
"17","Jamie O'Brien"
"18","Taj Burrow"
"19","Filipe Toledo"
"20","Kai Otton"
"21","Sebastian Zietz"
"22","Julian Wilson"
"23","Adrian Buchan"
"24","Glenn Hall"
"25","Bruce Irons"
"26","Brett Simpson"
"27","Jack Robinson"
"28","Matt Wilkinson"
"29","Wade Carmichael"
"30","Miguel Pupo"
"31","Dusty Payne"
"32","Jadson Andre"
"33","Nat Young"
"34","Kolohe Andino"
"35","Ricardo Christie"
"36","Wiggolly Dantas"
