"","x"
"1","Kelly Slater"
"2","Jordy Smith"
"3","Chris Davidson"
"4","Jeremy Flores"
"5","Adrian Buchan"
"6","Damien Hobgood"
"7","Owen Wright"
"8","Patrick Gudauskas"
"9","Michel Bourez"
"10","Matt Wilkinson"
"11","Travis Logie"
"12","Jadson Andre"
"13","Taj Burrow"
"14","Daniel Ross"
"15","Dusty Payne"
"16","Tom Whitaker"
"17","Taylor Knox"
"18","Gabe Kling"
"19","Mick Fanning"
"20","Bobby Martinez"
"21","C.J. Hobgood"
"22","Kai Otton"
"23","Brett Simpson"
"24","Dean Morrison"
"25","Bruno Santos"
"26","Dane Reynolds"
"27","Adriano de Souza"
"28","Luke Munro"
"29","Roy Powers"
"30","Luke Stedman"
"31","Andy Irons"
"32","Freddy Patacchia Jr."
"33","Kieren Perrow"
"34","Adam Melling"
"35","Tiago Pires"
