"","x"
"1","Jordy Smith"
"2","Adriano de Souza"
"3","Gabriel Medina"
"4","Mick Fanning"
"5","Kelly Slater"
"6","Adrian Buchan"
"7","Sebastian Zietz"
"8","Filipe Toledo"
"9","Taj Burrow"
"10","Nat Young"
"11","Michel Bourez"
"12","Glenn Hall"
"13","Kolohe Andino"
"14","Jeremy Flores"
"15","Miguel Pupo"
"16","Travis Logie"
"17","C.J. Hobgood"
"18","Patrick Gudauskas"
"19","Joel Parkinson"
"20","Bede Durbidge"
"21","Julian Wilson"
"22","Josh Kerr"
"23","Kai Otton"
"24","Brett Simpson"
"25","Jack Freestone"
"26","Yadin Nicol"
"27","Dusty Payne"
"28","Raoni Monteiro"
"29","Adam Melling"
"30","Damien Hobgood"
"31","Kieren Perrow"
"32","Alejo Muniz"
"33","Matt Wilkinson"
