"","x"
"1","Jadson Andre"
"2","Kelly Slater"
"3","Dane Reynolds"
"4","Owen Wright"
"5","Michel Bourez"
"6","C.J. Hobgood"
"7","Taylor Knox"
"8","Jordy Smith"
"9","Luke Munro"
"10","Joel Parkinson"
"11","Adriano de Souza"
"12","Travis Logie"
"13","Mick Fanning"
"14","Jeremy Flores"
"15","Chris Davidson"
"16","Roy Powers"
"17","Bobby Martinez"
"18","Damien Hobgood"
"19","Kieren Perrow"
"20","Matt Wilkinson"
"21","Patrick Gudauskas"
"22","Kekoa Bacalso"
"23","Tom Whitaker"
"24","Taj Burrow"
"25","Neco Padaratz"
"26","Tiago Pires"
"27","Bede Durbidge"
"28","Freddy Patacchia Jr."
"29","Tanner Gudauskas"
"30","Daniel Ross"
"31","Ben Dunn"
"32","Adrian Buchan"
"33","Blake Thornton"
"34","Marco Polo"
"35","Kai Otton"
"36","Nathan Yeomans"
"37","Jay Thompson"
"38","Adam Melling"
"39","Luke Stedman"
"40","Andy Irons"
"41","Brett Simpson"
"42","Dusty Payne"
"43","Drew Courtney"
"44","Mick Campbell"
"45","Dean Morrison"
