"","x"
"1","Taj Burrow"
"2","Matt Wilkinson"
"3","Travis Logie"
"4","Michel Bourez"
"5","Gabriel Medina"
"6","Joel Parkinson"
"7","Jeremy Flores"
"8","Adriano de Souza"
"9","Alejo Muniz"
"10","Raoni Monteiro"
"11","Damien Hobgood"
"12","Kelly Slater"
"13","Jadson Andre"
"14","Adrian Buchan"
"15","Taylor Knox"
"16","Jordy Smith"
"17","Bede Durbidge"
"18","Nat Young"
"19","Dusty Payne"
"20","Kai Otton"
"21","Yadin Nicol"
"22","Owen Wright"
"23","C.J. Hobgood"
"24","Patrick Gudauskas"
"25","Mick Fanning"
"26","John John Florence"
"27","Adam Melling"
"28","Julian Wilson"
"29","Tiago Pires"
"30","Josh Kerr"
"31","Kolohe Andino"
"32","Kieren Perrow"
"33","Heitor Alves"
"34","Miguel Pupo"
"35","Brett Simpson"
