"","x"
"1","Gabriel Medina"
"2","Kelly Slater"
"3","Bede Durbidge"
"4","John John Florence"
"5","Adrian Buchan"
"6","Kolohe Andino"
"7","Dion Atkinson"
"8","Owen Wright"
"9","Michel Bourez"
"10","Tiago Pires"
"11","Kai Otton"
"12","Brett Simpson"
"13","Taj Burrow"
"14","Josh Kerr"
"15","Aritz Aranburu"
"16","Mitch Crews"
"17","C.J. Hobgood"
"18","Joel Parkinson"
"19","Sebastian Zietz"
"20","Nat Young"
"21","Jadson Andre"
"22","Matt Wilkinson"
"23","Mick Fanning"
"24","Taumata Puhetini"
"25","Adriano de Souza"
"26","Mitch Coleborn"
"27","Jordy Smith"
"28","Raoni Monteiro"
"29","Glenn Hall"
"30","Julian Wilson"
"31","Freddy Patacchia Jr."
"32","Travis Logie"
"33","Miguel Pupo"
"34","Alejo Muniz"
"35","Adam Melling"
