"","x"
"1","Kelly Slater"
"2","Joel Parkinson"
"3","Mick Fanning"
"4","Adriano de Souza"
"5","Taj Burrow"
"6","Adrian Buchan"
"7","Jordy Smith"
"8","John John Florence"
"9","Julian Wilson"
"10","Jeremy Flores"
"11","Josh Kerr"
"12","Gabriel Medina"
"13","Matt Wilkinson"
"14","Alejo Muniz"
"15","Adam Melling"
"16","Kai Otton"
"17","Heitor Alves"
"18","Dusty Payne"
"19","Taylor Knox"
"20","Michel Bourez"
"21","Bede Durbidge"
"22","Travis Logie"
"23","Brett Simpson"
"24","Yadin Nicol"
"25","Conner Coffin"
"26","Owen Wright"
"27","Patrick Gudauskas"
"28","Jadson Andre"
"29","C.J. Hobgood"
"30","Kolohe Andino"
"31","Damien Hobgood"
"32","Miguel Pupo"
"33","Kieren Perrow"
"34","Freddy Patacchia Jr."
"35","Tiago Pires"
