"","col"
"Mick Fanning",5
"Kelly Slater",9
"Joel Parkinson",1
"Jordy Smith",13
"Taj Burrow",5
"Julian Wilson",5
"Kai Otton",13
"Nat Young",3
"Josh Kerr",3
"John John Florence",9
"C.J. Hobgood",5
"Michel Bourez",2
"Adriano de Souza",9
"Gabriel Medina",13
"Filipe Toledo",13
"Sebastian Zietz",13
"Adrian Buchan",13
"Jeremy Flores",13
"Miguel Pupo",13
"Freddy Patacchia Jr.",9
"Bede Durbidge",25
"Matt Wilkinson",13
"Brett Simpson",25
"Adam Melling",25
"Kolohe Andino",25
"Yadin Nicol",13
"Damien Hobgood",13
"Alejo Muniz",25
"Kieren Perrow",25
"Dusty Payne",25
"Raoni Monteiro",25
"Willian Cardoso",25
