"","col"
"Matt Wilkinson",13
"John John Florence",3
"Jordy Smith",1
"Adriano de Souza",5
"Owen Wright",9
"Joel Parkinson",9
"Connor O'Leary",13
"Julian Wilson",13
"Kolohe Andino",13
"Sebastian Zietz",9
"Gabriel Medina",13
"Michel Bourez",13
"Mick Fanning",5
"Filipe Toledo",5
"Caio Ibelli",2
"Adrian Buchan",13
"Jeremy Flores",13
"Kelly Slater",13
"Bede Durbidge",13
"Frederico Morais",5
"Wiggolly Dantas",9
"Ian Gouveia",25
"Ezekiel Lau",3
"Conner Coffin",25
"Jack Freestone",25
"Joan Duru",13
"Stuart Kennedy",25
"Kanoa Igarashi",25
"Leonardo Fioravanti",25
"Miguel Pupo",25
"Nat Young",13
"Jadson Andre",25
"Josh Kerr",25
"Ethan Ewing",25
"Samuel Pupo",25
"Glyndyn Ringrose",25
