"","col"
"Adriano de Souza",13
"Mick Fanning",9
"Gabriel Medina",13
"Filipe Toledo",13
"Owen Wright",1
"Julian Wilson",2
"Italo Ferreira",5
"Jeremy Flores",3
"Kelly Slater",9
"Nat Young",13
"Josh Kerr",25
"Bede Durbidge",13
"Joel Parkinson",5
"Wiggolly Dantas",5
"Taj Burrow",3
"Kai Otton",5
"Matt Wilkinson",25
"Adrian Buchan",13
"Keanu Asing",13
"Jadson Andre",13
"Adam Melling",9
"C.J. Hobgood",25
"Kolohe Andino",13
"Sebastian Zietz",13
"Miguel Pupo",25
"Glenn Hall",25
"Ricardo Christie",25
"Freddy Patacchia Jr.",13
"Matt Banting",25
"Alejo Muniz",13
"Dusty Payne",25
"Dane Reynolds",9
"Aritz Aranburu",25
"Jay Davies",25
"Inia Nakalevu",25
"Aca Ravulo",25
