"","col"
"John John Florence",3
"Jordy Smith",25
"Gabriel Medina",2
"Kolohe Andino",3
"Matt Wilkinson",13
"Michel Bourez",25
"Kelly Slater",25
"Julian Wilson",5
"Joel Parkinson",25
"Filipe Toledo",5
"Adriano de Souza",9
"Sebastian Zietz",9
"Josh Kerr",25
"Adrian Buchan",13
"Italo Ferreira",13
"Caio Ibelli",9
"Conner Coffin",13
"Stuart Kennedy",9
"Kanoa Igarashi",13
"Wiggolly Dantas",25
"Miguel Pupo",13
"Nat Young",13
"Keanu Asing",1
"Jeremy Flores",25
"Jadson Andre",25
"Dusty Payne",25
"Kai Otton",5
"Matt Banting",5
"Davey Cathels",13
"Jack Freestone",13
"Alejo Muniz",13
"Adam Melling",25
"Ryan Callinan",13
"Alex Ribeiro",25
"Leonardo Fioravanti",13
"Joan Duru",25
