"","col"
"Joel Parkinson",5
"Kelly Slater",5
"Mick Fanning",13
"John John Florence",13
"Adriano de Souza",2
"Taj Burrow",1
"Gabriel Medina",25
"Josh Kerr",3
"Julian Wilson",9
"Owen Wright",5
"Jeremy Flores",13
"Jordy Smith",3
"C.J. Hobgood",25
"Adrian Buchan",5
"Michel Bourez",9
"Damien Hobgood",25
"Miguel Pupo",9
"Alejo Muniz",25
"Kieren Perrow",13
"Bede Durbidge",13
"Travis Logie",13
"Kai Otton",25
"Kolohe Andino",13
"Matt Wilkinson",13
"Brett Simpson",25
"Yadin Nicol",13
"Heitor Alves",9
"Raoni Monteiro",13
"Tiago Pires",25
"Freddy Patacchia Jr.",13
"Taylor Knox",25
"Adam Melling",13
"Jadson Andre",25
"Patrick Gudauskas",25
