"","col"
"Kelly Slater",5
"Joel Parkinson",2
"Owen Wright",9
"Taj Burrow",13
"Adriano de Souza",13
"Michel Bourez",25
"Jordy Smith",13
"Josh Kerr",5
"Julian Wilson",13
"Alejo Muniz",3
"Mick Fanning",25
"Gabriel Medina",1
"Damien Hobgood",25
"Kieren Perrow",5
"Bede Durbidge",13
"Adrian Buchan",13
"Brett Simpson",5
"Matt Wilkinson",9
"Taylor Knox",3
"Jadson Andre",25
"Tiago Pires",13
"Freddy Patacchia Jr.",13
"Chris Davidson",13
"Kai Otton",25
"Adam Melling",13
"Daniel Ross",13
"Raoni Monteiro",13
"Travis Logie",25
"Dusty Payne",25
"Patrick Gudauskas",9
"John John Florence",25
"Miguel Pupo",9
"Dane Reynolds",25
