"","col"
"Adriano de Souza",5
"Mick Fanning",2
"Gabriel Medina",5
"Filipe Toledo",13
"Owen Wright",13
"Julian Wilson",2
"Italo Ferreira",13
"Kelly Slater",3
"Nat Young",9
"Josh Kerr",13
"Bede Durbidge",13
"Joel Parkinson",13
"Wiggolly Dantas",9
"Taj Burrow",25
"Kai Otton",5
"Matt Wilkinson",13
"Adrian Buchan",3
"Keanu Asing",9
"Michel Bourez",9
"Jadson Andre",25
"Adam Melling",13
"C.J. Hobgood",13
"Kolohe Andino",13
"Sebastian Zietz",25
"Miguel Pupo",25
"Jordy Smith",25
"Brett Simpson",25
"Glenn Hall",25
"Ricardo Christie",25
"Freddy Patacchia Jr.",13
"Alejo Muniz",5
"Dusty Payne",25
"Dane Reynolds",13
"Tomas Hermes",25
"Slade Prestwich",25
"Michael February",25
