"","col"
"Adriano de Souza",1
"Mick Fanning",13
"Gabriel Medina",25
"Filipe Toledo",25
"Owen Wright",9
"Julian Wilson",5
"Italo Ferreira",13
"Jeremy Flores",9
"Kelly Slater",5
"Nat Young",3
"Josh Kerr",9
"Bede Durbidge",25
"Joel Parkinson",13
"John John Florence",2
"Wiggolly Dantas",25
"Taj Burrow",3
"Kai Otton",13
"Matt Wilkinson",25
"Adrian Buchan",13
"Keanu Asing",25
"Michel Bourez",5
"Jadson Andre",13
"Adam Melling",13
"C.J. Hobgood",25
"Kolohe Andino",25
"Sebastian Zietz",9
"Miguel Pupo",13
"Jordy Smith",13
"Brett Simpson",25
"Glenn Hall",13
"Ricardo Christie",13
"Freddy Patacchia Jr.",13
"Matt Banting",25
"Alejo Muniz",25
"Dusty Payne",25
"Jay Davies",5
