"","col"
"Kelly Slater",2
"Joel Parkinson",9
"Owen Wright",1
"Taj Burrow",3
"Adriano de Souza",9
"Michel Bourez",25
"Josh Kerr",5
"Julian Wilson",5
"Alejo Muniz",3
"Mick Fanning",13
"Jeremy Flores",9
"Damien Hobgood",13
"Kieren Perrow",13
"Bede Durbidge",25
"Adrian Buchan",13
"Heitor Alves",5
"Brett Simpson",13
"Matt Wilkinson",25
"Taylor Knox",25
"Jadson Andre",5
"Tiago Pires",13
"Freddy Patacchia Jr.",9
"Chris Davidson",25
"Kai Otton",13
"Adam Melling",13
"Daniel Ross",25
"Raoni Monteiro",13
"Travis Logie",25
"C.J. Hobgood",13
"Patrick Gudauskas",13
"Cory Lopez",25
"Gabe Kling",25
