"","col"
"Gabriel Medina",2
"Mick Fanning",9
"John John Florence",5
"Kelly Slater",13
"Michel Bourez",9
"Joel Parkinson",13
"Jordy Smith",25
"Josh Kerr",3
"Kolohe Andino",13
"Owen Wright",9
"Nat Young",13
"Julian Wilson",1
"Adrian Buchan",3
"Bede Durbidge",13
"Filipe Toledo",5
"Kai Otton",5
"Miguel Pupo",13
"Sebastian Zietz",9
"Freddy Patacchia Jr.",13
"Jadson Andre",13
"Matt Wilkinson",13
"Adam Melling",13
"Alejo Muniz",5
"Aritz Aranburu",25
"Dion Atkinson",25
"Tiago Pires",25
"Mitch Crews",25
"Brett Simpson",25
"Travis Logie",25
"Jeremy Flores",13
"Glenn Hall",25
"Raoni Monteiro",25
"Mitch Coleborn",25
