"","col"
"Kelly Slater",1
"Jordy Smith",2
"Mick Fanning",13
"Dane Reynolds",25
"Taj Burrow",13
"Owen Wright",5
"Adrian Buchan",5
"Jeremy Flores",3
"Adriano de Souza",25
"Michel Bourez",9
"Damien Hobgood",5
"Jadson Andre",9
"Kieren Perrow",25
"Chris Davidson",3
"C.J. Hobgood",13
"Taylor Knox",13
"Andy Irons",25
"Freddy Patacchia Jr.",25
"Bobby Martinez",13
"Tiago Pires",25
"Patrick Gudauskas",5
"Brett Simpson",13
"Matt Wilkinson",9
"Joel Parkinson",25
"Dusty Payne",13
"Adam Melling",25
"Daniel Ross",13
"Travis Logie",9
"Kai Otton",13
"Tom Whitaker",13
"Luke Stedman",25
"Roy Powers",25
"Luke Munro",25
"Dean Morrison",13
"Gabe Kling",13
