"","col"
"John John Florence",13
"Jordy Smith",5
"Adriano de Souza",1
"Owen Wright",5
"Matt Wilkinson",3
"Joel Parkinson",5
"Kolohe Andino",25
"Filipe Toledo",13
"Caio Ibelli",13
"Gabriel Medina",9
"Mick Fanning",5
"Adrian Buchan",2
"Julian Wilson",9
"Sebastian Zietz",13
"Connor O'Leary",13
"Jeremy Flores",13
"Ezekiel Lau",25
"Frederico Morais",13
"Conner Coffin",25
"Wiggolly Dantas",9
"Jack Freestone",25
"Michel Bourez",25
"Kanoa Igarashi",9
"Yago Dora",3
"Bede Durbidge",13
"Ian Gouveia",13
"Nat Young",13
"Miguel Pupo",25
"Jadson Andre",13
"Josh Kerr",13
"Stuart Kennedy",25
"Joan Duru",25
"Jesse Mendes",25
"Ethan Ewing",25
"Leonardo Fioravanti",25
"Bino Lopes",25
