"","col"
"Kelly Slater",1
"Jordy Smith",5
"Mick Fanning",5
"Dane Reynolds",5
"Taj Burrow",3
"Bede Durbidge",2
"Owen Wright",9
"Adrian Buchan",25
"Jeremy Flores",9
"Adriano de Souza",5
"Michel Bourez",3
"Damien Hobgood",25
"Jadson Andre",25
"Kieren Perrow",13
"Chris Davidson",9
"C.J. Hobgood",13
"Taylor Knox",9
"Andy Irons",25
"Freddy Patacchia Jr.",13
"Bobby Martinez",13
"Tiago Pires",13
"Patrick Gudauskas",25
"Brett Simpson",13
"Matt Wilkinson",13
"Dusty Payne",13
"Adam Melling",25
"Daniel Ross",13
"Travis Logie",25
"Kai Otton",25
"Tom Whitaker",25
"Luke Stedman",25
"Roy Powers",13
"Luke Munro",25
"Gabe Kling",13
