"","col"
"Kelly Slater",2
"Jordy Smith",5
"Mick Fanning",9
"Dane Reynolds",3
"Taj Burrow",17
"Bede Durbidge",17
"Owen Wright",3
"Adrian Buchan",17
"Jeremy Flores",9
"Adriano de Souza",9
"Michel Bourez",5
"Damien Hobgood",17
"Jadson Andre",1
"Kieren Perrow",17
"Chris Davidson",9
"C.J. Hobgood",5
"Taylor Knox",5
"Andy Irons",3
"Freddy Patacchia Jr.",17
"Bobby Martinez",17
"Tiago Pires",17
"Patrick Gudauskas",17
"Brett Simpson",3
"Matt Wilkinson",17
"Joel Parkinson",9
"Dusty Payne",3
"Adam Melling",3
"Daniel Ross",17
"Travis Logie",9
"Kai Otton",3
"Tom Whitaker",17
"Luke Stedman",3
"Roy Powers",9
"Luke Munro",9
"Dean Morrison",3
"Neco Padaratz",17
"Kekoa Bacalso",17
"Ben Dunn",17
"Tanner Gudauskas",17
"Nathan Yeomans",3
"Jay Thompson",3
"Marco Polo",3
"Drew Courtney",3
"Mick Campbell",3
"Blake Thornton",3
