"","col"
"Joel Parkinson",5
"Kelly Slater",9
"Mick Fanning",25
"John John Florence",25
"Adriano de Souza",5
"Taj Burrow",1
"Gabriel Medina",5
"Josh Kerr",25
"Julian Wilson",25
"Owen Wright",13
"Jeremy Flores",5
"Jordy Smith",13
"C.J. Hobgood",13
"Adrian Buchan",13
"Michel Bourez",3
"Damien Hobgood",9
"Miguel Pupo",25
"Alejo Muniz",9
"Kieren Perrow",25
"Bede Durbidge",13
"Travis Logie",3
"Kai Otton",13
"Kolohe Andino",25
"Matt Wilkinson",2
"Brett Simpson",25
"Yadin Nicol",13
"Heitor Alves",25
"Raoni Monteiro",9
"Tiago Pires",25
"Taylor Knox",13
"Adam Melling",25
"Jadson Andre",13
"Patrick Gudauskas",13
"Dusty Payne",13
