"","col"
"Gabriel Medina",1
"Mick Fanning",13
"John John Florence",3
"Kelly Slater",2
"Michel Bourez",9
"Joel Parkinson",13
"Jordy Smith",25
"Adriano de Souza",25
"Taj Burrow",13
"Josh Kerr",13
"Kolohe Andino",5
"Owen Wright",5
"Nat Young",13
"Julian Wilson",25
"Adrian Buchan",5
"Bede Durbidge",3
"Kai Otton",9
"Miguel Pupo",25
"Sebastian Zietz",13
"Freddy Patacchia Jr.",25
"Jadson Andre",13
"Matt Wilkinson",13
"C.J. Hobgood",13
"Adam Melling",25
"Alejo Muniz",25
"Aritz Aranburu",13
"Dion Atkinson",5
"Tiago Pires",9
"Mitch Crews",13
"Brett Simpson",9
"Travis Logie",25
"Glenn Hall",25
"Raoni Monteiro",25
"Mitch Coleborn",25
