"","col"
"John John Florence",13
"Jordy Smith",1
"Gabriel Medina",13
"Kolohe Andino",9
"Matt Wilkinson",25
"Michel Bourez",9
"Kelly Slater",5
"Julian Wilson",25
"Joel Parkinson",2
"Filipe Toledo",3
"Adriano de Souza",25
"Sebastian Zietz",25
"Josh Kerr",9
"Adrian Buchan",13
"Italo Ferreira",13
"Caio Ibelli",13
"Mick Fanning",13
"Conner Coffin",13
"Stuart Kennedy",5
"Kanoa Igarashi",13
"Wiggolly Dantas",13
"Miguel Pupo",13
"Nat Young",25
"Keanu Asing",25
"Jeremy Flores",25
"Jadson Andre",9
"Kai Otton",13
"Matt Banting",25
"Davey Cathels",25
"Jack Freestone",13
"Alejo Muniz",25
"Adam Melling",25
"Ryan Callinan",25
"Alex Ribeiro",5
"Tanner Gudauskas",3
"Brett Simpson",5
