"","GoldCoast","BellsBeach","SantaCatarina","Jbay","Tahiti","Trestles","France","Portugal","SanFrancisco","Pipeline"
"Kelly Slater","9","1","2","17","3","1","2","1","1","3"
"Jordy Smith","2","5","5","1","17","5","5","2","5","5"
"Mick Fanning","9","2","9","9","9","3","1","13","5","13"
"Dane Reynolds","3","17","3","5","9","3","13","25","5","3"
"Taj Burrow","1","3","17","3","3","5","13","13","3","9"
"Bede Durbidge","5","5","17","3","3","2","25","NA","2","9"
"Owen Wright","17","17","3","9","9","5","9","5","9","5"
"Adrian Buchan","9","9","17","9","5","9","3","5","25","5"
"Jeremy Flores","17","17","9","3","3","25","13","3","9","1"
"Adriano de Souza","5","5","9","5","9","13","25","25","5","13"
"Michel Bourez","3","9","5","17","9","13","5","9","3","13"
"Damien Hobgood","9","3","17","5","9","9","13","5","25","9"
"Jadson Andre","17","9","1","3","3","13","9","9","25","13"
"Kieren Perrow","9","3","17","3","3","5","5","25","13","2"
"Chris Davidson","9","17","9","17","17","9","13","3","9","25"
"C.J. Hobgood","17","3","5","3","2","9","13","13","13","13"
"Taylor Knox","17","17","5","3","3","13","9","13","9","5"
"Andy Irons","17","9","3","9","1","13","25","25","25","NA"
"Freddy Patacchia Jr.","9","9","17","17","5","25","13","25","13","13"
"Bobby Martinez","3","3","17","17","3","25","25","13","13","25"
"Tiago Pires","17","9","17","9","5","13","25","25","13","25"
"Patrick Gudauskas","17","17","17","3","5","25","13","5","25","13"
"Brett Simpson","17","17","3","9","3","13","3","13","13","25"
"Matt Wilkinson","3","17","17","9","17","13","25","9","13","13"
"Joel Parkinson","5","5","9","3","3","3","3","25","NA","13"
"Dusty Payne","17","17","3","9","17","13","25","13","13","9"
"Adam Melling","3","3","3","2","9","13","25","25","25","13"
"Daniel Ross","9","17","17","3","3","25","5","13","13","25"
"Travis Logie","3","3","9","17","17","25","25","9","25","3"
"Kai Otton","5","17","3","3","3","25","13","13","25","3"
"Tom Whitaker","17","17","17","3","3","25","9","13","25","25"
"Luke Stedman","17","9","3","17","17","13","25","25","25","3"
"Roy Powers","3","9","9","3","3","25","25","25","13","3"
"Luke Munro","17","3","9","3","17","25","13","25","25","25"
"Dean Morrison","17","3","3","17","17","NA","NA","13","NA","25"
"Gabe Kling","NA","NA","NA","NA","NA","13","13","13","13","25"
"Neco Padaratz","3","17","17","17","3","NA","NA","NA","NA","NA"
"Kekoa Bacalso","17","3","17","17","3","NA","NA","NA","NA","NA"
"Ben Dunn","3","3","17","17","17","NA","NA","NA","NA","NA"
"Tanner Gudauskas","3","17","17","17","3","NA","NA","NA","NA","NA"
"Nathan Yeomans","3","3","3","17","17","NA","NA","NA","NA","NA"
"Jay Thompson","3","3","3","17","17","NA","NA","NA","NA","NA"
"Marco Polo","3","3","3","3","17","NA","NA","NA","NA","NA"
"Drew Courtney","3","17","3","3","3","NA","NA","NA","NA","NA"
"Mick Campbell","17","3","3","3","3","NA","NA","NA","NA","NA"
"Blake Thornton","3","3","3","3","17","NA","NA","NA","NA","NA"
"Joan Duru","NA","NA","NA","17","17","NA","NA","NA","NA","NA"
"Tim Reyes","NA","NA","NA","17","3","NA","NA","NA","NA","NA"
