"","GoldCoast","BellsBeach","Rio","Fiji","Tahiti","Trestles","France","Portugal","SantaCruz","Pipeline"
"Joel Parkinson","5","3","2","9","2","2","3","3","5","1"
"Kelly Slater","5","2","NA","1","13","1","1","13","9","3"
"Mick Fanning","13","1","3","3","1","3","13","9","25","13"
"John John Florence","13","9","1","5","3","5","3","5","25","13"
"Adriano de Souza","2","9","5","5","13","3","25","3","5","13"
"Taj Burrow","1","13","9","5","9","5","13","13","1","13"
"Gabriel Medina","25","13","25","2","5","9","5","2","5","9"
"Josh Kerr","3","5","3","13","13","9","25","5","25","2"
"Julian Wilson","9","25","5","5","9","9","13","1","25","13"
"Owen Wright","5","5","13","9","3","25","9","5","13","13"
"Jeremy Flores","13","3","9","13","5","9","13","5","5","13"
"Jordy Smith","3","5","9","13","25","5","13","25","13","13"
"C.J. Hobgood","25","9","13","3","5","25","25","13","13","5"
"Adrian Buchan","5","25","13","13","13","5","9","9","13","25"
"Michel Bourez","9","25","9","25","13","13","9","13","3","25"
"Damien Hobgood","25","13","25","9","9","25","25","25","9","3"
"Miguel Pupo","9","25","13","13","13","25","5","25","25","9"
"Alejo Muniz","25","25","5","13","13","13","13","13","9","25"
"Kieren Perrow","13","25","25","25","9","25","5","13","25","9"
"Bede Durbidge","13","13","13","13","25","13","9","13","13","13"
"Travis Logie","13","13","13","25","25","13","25","13","3","25"
"Kai Otton","25","5","25","13","13","13","13","13","13","25"
"Kolohe Andino","13","25","13","25","NA","25","5","9","25","13"
"Matt Wilkinson","13","13","25","25","25","13","25","25","2","25"
"Brett Simpson","25","9","13","13","13","13","13","13","25","25"
"Yadin Nicol","13","13","25","25","25","13","25","13","13","5"
"Heitor Alves","9","25","13","9","13","13","25","25","25","25"
"Raoni Monteiro","13","13","25","25","NA","NA","NA","9","9","NA"
"Tiago Pires","25","13","5","13","25","25","25","25","25","3"
"Freddy Patacchia Jr.","13","13","25","13","13","25","13","NA","NA","25"
"Taylor Knox","25","25","25","25","13","13","13","25","13","3"
"Adam Melling","13","25","13","25","25","13","25","25","25","25"
"Jadson Andre","25","13","25","NA","25","25","13","25","13","3"
"Patrick Gudauskas","25","25","13","25","25","25","13","25","13","3"
"Dusty Payne","NA","NA","NA","NA","25","13","25","13","13","3"
"Willian Cardoso","NA","NA","25","25","25","NA","NA","NA","NA","NA"
