"","GoldCoast","BellsBeach","Rio","Fiji","Bali","Tahiti","Trestles","France","Portugal","Pipeline"
"Mick Fanning","3","5","3","2","5","3","9","1","5","3"
"Kelly Slater","1","13","5","1","9","2","13","5","25","1"
"Joel Parkinson","2","13","13","5","1","9","13","3","3","3"
"Jordy Smith","13","3","1","5","13","9","3","9","5","NA"
"Taj Burrow","5","3","9","9","5","25","1","9","9","13"
"Julian Wilson","5","13","13","13","5","5","2","5","5","5"
"Kai Otton","13","5","13","13","13","3","5","5","1","9"
"Nat Young","13","2","9","9","3","25","13","25","2","9"
"Josh Kerr","13","9","13","5","3","5","5","25","3","13"
"John John Florence","13","NA","NA","3","9","5","25","5","9","2"
"C.J. Hobgood","13","9","13","3","5","9","9","25","5","9"
"Michel Bourez","3","25","9","25","2","25","3","9","13","13"
"Adriano de Souza","25","1","2","25","9","25","9","13","13","13"
"Gabriel Medina","13","13","3","25","13","13","13","2","25","13"
"Filipe Toledo","13","5","5","25","13","25","13","3","13","25"
"Sebastian Zietz","13","13","5","5","13","25","13","13","13","5"
"Adrian Buchan","25","9","5","25","13","1","25","13","25","NA"
"Jeremy Flores","9","13","13","9","13","9","13","13","25","9"
"Miguel Pupo","NA","NA","13","13","13","13","25","13","9","5"
"Freddy Patacchia Jr.","NA","NA","NA","13","9","5","13","13","13","13"
"Bede Durbidge","5","13","13","25","25","13","13","25","13","13"
"Matt Wilkinson","5","25","25","13","13","13","25","25","9","25"
"Brett Simpson","9","25","13","13","25","25","13","9","25","25"
"Adam Melling","9","25","25","25","25","13","9","25","13","13"
"Travis Logie","9","25","13","13","NA","25","5","25","25","25"
"Kolohe Andino","25","13","13","9","25","25","13","13","25","25"
"Patrick Gudauskas","25","25","13","NA","NA","25","5","13","25","13"
"Yadin Nicol","NA","NA","25","13","13","13","25","25","25","5"
"Damien Hobgood","25","13","25","13","13","13","25","25","13","25"
"Alejo Muniz","13","13","25","25","25","25","13","13","13","25"
"Kieren Perrow","25","25","25","13","25","13","25","13","13","3"
"Dusty Payne","13","13","25","25","25","NA","NA","NA","NA","13"
"Glenn Hall","25","25","9","25","NA","NA","NA","NA","NA","NA"
"Raoni Monteiro","25","9","25","NA","25","NA","25","NA","25","3"
"Willian Cardoso","25","5","NA","NA","25","NA","NA","NA","NA","NA"
"Tiago Pires","25","13","NA","NA","NA","NA","NA","NA","NA","NA"
"Owen Wright","25","25","NA","NA","NA","NA","NA","NA","NA","NA"
"Heitor Alves","NA","NA","NA","13","NA","NA","NA","NA","NA","NA"
