"","GoldCoast","MargaretRiver","BellsBeach","Rio","Fiji","Jbay","Tahiti","Trestles","France","Portugal","Pipeline"
"Gabriel Medina","1","5","9","13","1","5","1","5","5","13","2"
"Mick Fanning","5","13","1","25","5","1","13","5","9","1","9"
"John John Florence","25","13","3","13","5","13","3","2","1","3","5"
"Kelly Slater","5","3","5","3","5","13","2","3","5","13","13"
"Michel Bourez","13","1","25","1","3","13","9","9","13","9","9"
"Joel Parkinson","2","5","5","9","9","2","13","5","13","13","13"
"Jordy Smith","25","5","9","5","13","13","25","1","3","2","25"
"Adriano de Souza","3","9","5","9","5","5","25","5","13","5","NA"
"Taj Burrow","3","13","2","3","9","5","13","9","9","13","NA"
"Josh Kerr","9","2","13","9","25","9","13","25","3","5","3"
"Kolohe Andino","13","13","25","2","3","9","5","13","5","13","13"
"Owen Wright","13","13","5","25","9","3","5","9","13","13","9"
"Nat Young","9","5","13","5","2","13","13","13","25","25","13"
"Julian Wilson","13","13","3","13","13","13","25","13","13","25","1"
"Adrian Buchan","13","13","25","13","13","13","5","3","13","25","3"
"Bede Durbidge","25","3","13","5","13","25","3","25","25","9","13"
"Filipe Toledo","25","9","13","13","9","25","NA","13","9","5","5"
"Kai Otton","25","13","13","NA","13","13","9","13","13","3","5"
"Miguel Pupo","5","9","13","25","25","13","25","9","5","13","13"
"Sebastian Zietz","25","13","13","5","13","13","13","25","13","13","9"
"Freddy Patacchia Jr.","9","25","9","25","13","9","25","13","13","13","13"
"Jadson Andre","13","13","25","13","25","25","13","13","2","13","13"
"Matt Wilkinson","25","25","13","25","25","3","13","25","9","25","13"
"C.J. Hobgood","5","13","13","25","25","9","13","13","25","25","NA"
"Adam Melling","13","13","9","25","NA","13","25","25","25","5","13"
"Alejo Muniz","25","NA","NA","13","13","5","25","25","25","13","5"
"Aritz Aranburu","25","25","13","13","25","13","13","13","25","9","25"
"Dion Atkinson","13","25","25","13","25","25","5","25","13","13","25"
"Tiago Pires","13","NA","25","13","13","25","9","13","25","25","25"
"Mitch Crews","9","25","13","13","25","25","13","25","25","25","25"
"Brett Simpson","25","25","25","25","25","25","9","25","25","9","25"
"Travis Logie","13","25","25","9","25","25","25","25","13","25","25"
"Jeremy Flores","13","25","25","25","13","25","NA","25","13","25","13"
"Glenn Hall","NA","NA","13","25","13","25","25","NA","NA","NA","25"
"Raoni Monteiro","25","25","25","25","NA","25","25","25","25","25","25"
"Mitch Coleborn","NA","25","NA","NA","13","NA","25","NA","NA","NA","25"
