"","GoldCoast","BellsBeach","MargaretRiver","Rio","Fiji","Jbay","Tahiti","Trestles","France","Portugal","Pipeline"
"Adriano de Souza","3","2","1","13","13","5","13","2","3","13","1"
"Mick Fanning","5","1","13","9","9","2","13","1","5","13","3"
"Gabriel Medina","13","5","25","13","13","5","2","3","1","5","2"
"Filipe Toledo","1","5","25","1","13","13","9","3","25","1","13"
"Owen Wright","13","5","9","5","1","13","3","9","5","25","NA"
"Julian Wilson","2","13","5","25","2","2","13","13","3","25","13"
"Italo Ferreira","9","25","13","3","5","13","5","9","5","2","13"
"Jeremy Flores","25","9","9","13","3","NA","1","13","9","5","9"
"Kelly Slater","13","9","5","13","9","3","5","9","13","13","5"
"Nat Young","13","3","3","13","13","9","25","5","13","9","25"
"Josh Kerr","13","3","9","5","25","13","5","13","13","13","5"
"Bede Durbidge","5","25","25","2","13","13","13","13","2","13","13"
"Joel Parkinson","13","9","13","25","5","13","13","5","25","5","9"
"John John Florence","13","13","2","9","NA","NA","13","25","5","13","9"
"Wiggolly Dantas","5","25","25","13","5","9","9","5","25","25","25"
"Taj Burrow","5","13","3","13","3","25","25","13","NA","NA","13"
"Kai Otton","25","25","13","13","5","5","5","13","13","25","13"
"Matt Wilkinson","9","13","25","3","25","13","13","13","9","13","25"
"Adrian Buchan","25","25","13","13","13","3","13","5","13","25","13"
"Keanu Asing","25","13","25","9","13","9","25","25","13","9","9"
"Michel Bourez","25","25","5","NA","NA","9","25","13","13","9","13"
"Jadson Andre","25","9","13","5","13","25","13","25","9","25","25"
"Adam Melling","25","13","13","13","9","13","25","13","25","25","5"
"C.J. Hobgood","25","25","25","25","25","13","3","25","13","13","5"
"Kolohe Andino","13","13","25","25","13","13","25","13","9","9","25"
"Sebastian Zietz","13","13","9","13","13","25","13","25","25","13","13"
"Miguel Pupo","3","25","13","25","25","25","25","9","25","25","25"
"Jordy Smith","9","5","13","25","NA","25","NA","NA","NA","NA","13"
"Brett Simpson","25","13","25","25","NA","25","13","25","13","3","25"
"Glenn Hall","9","25","13","25","25","25","25","13","25","25","13"
"Ricardo Christie","25","25","13","5","25","25","25","25","25","13","25"
"Freddy Patacchia Jr.","13","13","13","25","13","13","25","13","NA","NA","NA"
"Matt Banting","13","13","25","9","25","NA","NA","NA","NA","NA","NA"
"Mason Ho","NA","13","NA","NA","NA","NA","NA","NA","NA","13","3"
"Alejo Muniz","NA","NA","25","25","13","5","NA","NA","25","NA","NA"
"Dusty Payne","13","25","25","13","25","25","13","25","25","NA","25"
"Dane Reynolds","25","NA","NA","NA","9","13","NA","NA","13","NA","NA"
"Vasco Ribeiro","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA"
"Aritz Aranburu","NA","NA","NA","NA","25","NA","9","25","25","25","NA"
"Jay Davies","NA","NA","5","NA","25","NA","NA","NA","NA","NA","NA"
"Frederico Morais","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA"
"Bruno Santos","NA","NA","NA","NA","NA","NA","9","NA","NA","NA","NA"
"Tomas Hermes","NA","NA","NA","NA","NA","25","NA","25","13","25","NA"
"Caio Ibelli","NA","NA","NA","NA","NA","NA","NA","NA","25","13","NA"
"Maxime Huscenot","NA","NA","NA","NA","NA","NA","NA","NA","13","NA","NA"
"Jamie O'Brien","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","13"
"Garrett Parkes","NA","NA","NA","NA","NA","NA","25","NA","NA","NA","NA"
"Inia Nakalevu","NA","NA","NA","NA","25","NA","NA","NA","NA","NA","NA"
"Aca Ravulo","NA","NA","NA","NA","25","NA","NA","NA","NA","NA","NA"
"Joe Van Dijk","NA","25","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Jack Robinson","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","25"
"Taumata Puhetini","NA","NA","NA","NA","NA","NA","25","NA","NA","NA","NA"
"Hiroto Ohhara","NA","NA","NA","NA","NA","NA","NA","25","NA","NA","NA"
"Slade Prestwich","NA","NA","NA","NA","NA","25","NA","NA","NA","NA","NA"
"Bruce Irons","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","25"
"Tiago Pires","NA","NA","NA","NA","NA","NA","NA","NA","NA","25","NA"
"Alex Ribeiro","NA","NA","NA","25","NA","NA","NA","NA","NA","NA","NA"
"David do Carmo","NA","NA","NA","25","NA","NA","NA","NA","NA","NA","NA"
"Wade Carmichael","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","25"
"Ian Crane","NA","NA","NA","NA","NA","NA","NA","25","NA","NA","NA"
"Michael February","NA","NA","NA","NA","NA","25","NA","NA","NA","NA","NA"
"Jack Freestone","25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
