"","GoldCoast","BellsBeach","NewZealand","Beachley","Peru","Portugal","Search","Oahu"
"Stephanie Gilmore","1","1","9","1","3","2","1","3"
"Sally Fitzgibbons","5","3","2","2","2","5","3","4"
"Carissa Moore","9","9","1","5","1","1","2","5"
"Silvana Lima","5","5","5","3","1","5","5","5"
"Sofia Mulanovich","5","2","5","3","3","3","9","1"
"Chelsea Hedges","3","3","3","9","5","5","3","NA"
"Coco Ho","3","5","9","5","5","9","5","2"
"Melanie Bartels","2","5","5","5","9","1","5","5"
"Paige Hareb","9","9","5","9","5","5","9","1"
"Rebecca Woods","5","5","9","9","9","9","9","9"
"Claire Bevilacqua","1","9","1","9","5","3","9","1"
"Lee-Ann Curren","9","9","9","9","1","9","5","1"
"Rosy Hodge","9","9","9","9","9","9","9","1"
"Jessi Miley-Dyer","9","9","9","5","1","1","NA","1"
"Bruna Schmitz","9","1","9","1","1","1","9","9"
"Nikita Robb","1","9","1","1","9","9","9","1"
"Amee Donohoe","9","1","9","9","9","1","NA","NA"
