"","GoldCoast","BellsBeach","NewZealand","Beachley","Rio","France","USOpen"
"Carissa Moore","1","2","2","1","1","2","3"
"Sally Fitzgibbons","3","1","1","3","2","3","1"
"Stephanie Gilmore","5","3","9","3","3","1","5"
"Tyler Wright","2","5","3","5","5","9","9"
"Silvana Lima","5","3","9","5","3","5","9"
"Coco Ho","5","5","3","9","9","5","3"
"Sofia Mulanovich","9","5","13","2","9","5","9"
"Courtney Conlogue","9","5","5","9","5","5","5"
"Pauline Ado","9","9","5","1","5","3","13"
"Laura Enever","3","13","13","1","5","9","5"
"Chelsea Hedges","5","9","5","9","NA","13","NA"
"Paige Hareb","13","13","5","9","9","9","13"
"Melanie Bartels","NA","9","9","5",NA,"13","9"
"Rebecca Woods","13","13","9","1","NA","13","5"
"Jessi Miley-Dyer","13","9","13","1","13","13","13"
"Jacqueline Silva","9","NA","NA","1","NA","13","NA"
"Alana Blanchard","13","13","13","1","9","13","13"
"Claire Bevilacqua","13","NA","13","1","13","13","13"
"Felicity Palmateer","NA","NA","NA","NA","13","13","13"
