"","GoldCoast","MargaretRiver","BellsBeach","Rio","Fiji","USOpen","Trestles","France","Cascais","Maui"
"Stephanie Gilmore","1","3","3","13","2","2","1","5","1","5"
"Tyler Wright","5","2","2","3","9","1","5","1","3","2"
"Carissa Moore","3","1","1","2","5","5","9","3","5","1"
"Sally Fitzgibbons","5","3","3","1","1","3","2","5","2","5"
"Malia Manuel","5","5","5","9","3","3","13","5","3","9"
"Lakey Peterson","3","13","5","3","13","5","5","9","5","5"
"Bianca Buitendag","2","5","9","13","5","13","5","5","13","3"
"Johanne Defay","13","9","13","13","5","5","3","3","5","5"
"Courtney Conlogue","5","5","9","NA","NA","NA","13","2","5","3"
"Laura Enever","13","5","9","9","5","9","5","13","9","9"
"Dimity Stoyle","9","9","5","13","3","9","9","9","13","9"
"Coco Ho","13","9","5","5","13","13","3","13","13","9"
"Nikki Van Dijk","13","13","9","5","13","5","13","9","9","13"
"Pauline Ado","9","13","13","5","13","13","9","9","9","13"
"Alessa Quizon","9","13","13","5","9","13","9","13","13","13"
"Paige Hareb","9","9","13","13","9","9","13","13","9","13"
"Alana Blanchard","13","13","13","13","13","13","13","13","13","13"
"Tatiana Weston-Webb","NA","NA","NA","9","9","9","NA","NA","NA","NA"
