"","GoldCoast","BellsBeach","MargaretRiver","Rio","Fiji","USOpen","Trestles","Cascais","France","Maui"
"Carissa Moore","1","1","2","3","9","5","1","9","3","1"
"Courtney Conlogue","5","3","1","1","5","3","5","1","9","9"
"Sally Fitzgibbons","9","3","3","9","1","2","5","3","5","2"
"Bianca Buitendag","13","9","5","2","2","3","2","9","13","5"
"Tyler Wright","3","5","5","3","9","13","5","9","1","5"
"Lakey Peterson","5","5","5","5","3","5","3","2","13","9"
"Tatiana Weston-Webb","3","9","5","9","5","9","9","3","2","5"
"Johanne Defay","13","5","9","9","3","1","9","5","5","9"
"Nikki Van Dijk","9","13","13","13","5","5","5","5","5","5"
"Malia Manuel","5","13","3","5","9","5","13","5","13","9"
"Coco Ho","9","5","9","5","9","9","13","13","5","3"
"Stephanie Gilmore","2","2","9","NA","NA","NA","NA","NA","9","NA"
"Alessa Quizon","13","9","13","13","13","9","9","5","9","3"
"Silvana Lima","5","9","9","9","13","9","13","13","13","13"
"Dimity Stoyle","9","13","13","13","13","13","3","9","9","13"
"Sage Erickson","13","13","13","13","13","13","9","13","3","13"
"Laura Enever","13","13","13","13","5","13","13","13","NA","13"
"Keely Andrew","NA","NA","NA","5","13","13","NA","NA","NA","13"
"Pauline Ado","NA","13","NA","NA","NA","NA","NA","13","13","NA"
"Chelsea Tuach","NA","NA","NA","NA","NA","13","NA","NA","13","NA"
"Caroline Marks","NA","NA","NA","NA","NA","NA","13","NA","NA","NA"
"Teresa Bonvalot","NA","NA","NA","NA","NA","NA","NA","13","NA","NA"
"Mahina Maeda","NA","NA","NA","NA","13","NA","NA","NA","NA","NA"
"Bronte Macaulay","13","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Luana Coutinho","NA","NA","NA","13","NA","NA","NA","NA","NA","NA"
"Dax McGill","NA","NA","NA","NA","NA","NA","NA","NA","NA","13"
"Claire Bevilacqua","NA","NA","13","NA","NA","NA","NA","NA","NA","NA"
"Bethany Hamilton","NA","NA","NA","NA","NA","NA","13","NA","NA","NA"
