"","GoldCoast","MargaretRiver","BellsBeach","Rio","Fiji","USOpen","Trestles","Cascais","France","Maui"
"Tyler Wright","5","2","3","1","3","NA","NA","NA","NA","NA"
"Sally Fitzgibbons","3","1","5","3","3","NA","NA","NA","NA","NA"
"Stephanie Gilmore","1","3","2","5","9","NA","NA","NA","NA","NA"
"Courtney Conlogue","9","5","1","9","1","NA","NA","NA","NA","NA"
"Johanne Defay","3","9","5","2","5","NA","NA","NA","NA","NA"
"Nikki Van Dijk","5","5","9","3","5","NA","NA","NA","NA","NA"
"Lakey Peterson","2","13","3","9","9","NA","NA","NA","NA","NA"
"Carissa Moore","5","5","5","13","5","NA","NA","NA","NA","NA"
"Sage Erickson","13","3","9","5","5","NA","NA","NA","NA","NA"
"Tatiana Weston-Webb","9","9","9","13","2","NA","NA","NA","NA","NA"
"Keely Andrew","5","9","13","5","9","NA","NA","NA","NA","NA"
"Coco Ho","9","9","5","9","13","NA","NA","NA","NA","NA"
"Malia Manuel","13","5","NA","NA","NA","NA","NA","NA","NA","NA"
"Laura Enever","13","NA","13","9","13","NA","NA","NA","NA","NA"
"Silvana Lima","13","13","9","13","13","NA","NA","NA","NA","NA"
"Bronte Macaulay","9","13","13","13","13","NA","NA","NA","NA","NA"
"Pauline Ado","13","13","13","13","13","NA","NA","NA","NA","NA"
"Bianca Buitendag","NA","13","NA","5","13","NA","NA","NA","NA","NA"
"Bethany Hamilton","NA","NA","NA","NA","9","NA","NA","NA","NA","NA"
"Isabella Nichols","NA","NA","13","NA","NA","NA","NA","NA","NA","NA"
"Ella Williams","NA","NA","13","NA","NA","NA","NA","NA","NA","NA"
"Laura Macaulay","NA","13","NA","NA","NA","NA","NA","NA","NA","NA"
"Taina Hinckel","NA","NA","NA","13","NA","NA","NA","NA","NA","NA"
"Alyssa Lock","13","NA","NA","NA","NA","NA","NA","NA","NA","NA"
