"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1",1,1,1,1,6,1,1,1,2,2,9,0.90397840924561
"2",5,2,2,2,9,3,3,1,4,2,8,0.113245367538184
"3",8,8,4,1,7,6,5,5,7,3,8,0.0862043458037078
"4",4,3,1,1,5,4,1,1,2,2,3,0.66266370122321
"5",8,4,4,3,3,2,2,2,4,3,1,0.496775795938447
"6",2,1,1,1,8,2,2,1,4,1,8,0.310872617643327
"7",7,6,6,6,1,1,1,1,3,3,8,0.762413967167959
"8",4,2,1,1,10,6,5,3,8,1,3,0.45368971885182
"9",1,1,1,1,1,1,1,1,8,6,4,0.897278388496488
"10",2,1,1,1,3,2,1,1,9,6,3,0.161254271166399
"11",7,2,2,1,5,2,1,1,5,4,10,0.382624202640727
"12",10,1,1,1,7,4,3,2,7,4,3,0.405629818793386
"13",5,5,2,1,6,2,2,2,6,3,7,0.202157675288618
"14",5,3,1,1,7,6,6,4,8,1,2,0.773546370211989
"15",2,2,2,1,5,4,2,1,4,1,7,0.828181107994169
"16",10,10,2,1,6,4,2,1,10,4,9,0.836400011787191
"17",3,2,2,1,5,3,2,2,5,5,6,0.314558057114482
"18",6,1,1,1,10,10,8,4,7,3,7,0.879303128225729
"19",3,2,2,2,1,1,1,1,3,1,5,0.951578934909776
"20",10,1,1,1,10,3,2,1,1,1,2,0.0387436882592738
"21",5,1,1,1,1,1,1,1,7,5,3,0.456378120230511
"22",1,1,1,1,5,5,3,3,2,2,4,0.896227663848549
"23",2,1,1,1,10,3,1,1,4,2,7,0.462566987611353
"24",10,7,1,1,3,1,1,1,9,6,8,0.785486195469275
"25",2,2,1,1,5,3,1,1,6,4,2,0.272610346553847
"26",5,3,1,1,3,2,2,1,1,1,5,0.853693536249921
"27",9,4,4,3,6,6,2,2,5,1,4,0.780033845920116
"28",7,1,1,1,6,5,4,2,5,2,2,0.065633108606562
"29",5,1,1,1,5,5,3,2,5,1,1,0.630928357131779
"30",9,8,2,1,5,3,2,2,8,6,7,0.190242290496826
"31",9,8,3,1,7,3,3,3,10,10,7,0.874327565776184
"32",3,2,1,1,2,1,1,1,9,6,10,0.197134351590648
"33",5,1,1,1,10,10,9,6,4,3,5,0.0966773976106197
"34",1,1,1,1,4,2,2,2,9,3,1,0.478189073503017
"35",5,2,1,1,8,5,5,1,8,6,1,0.513644025893882
"36",1,1,1,1,5,3,1,1,5,4,9,0.522899051196873
"37",2,1,1,1,4,4,4,2,2,2,6,0.0636855633929372
"38",6,1,1,1,3,2,2,2,1,1,4,0.125495470594615
"39",6,1,1,1,9,6,4,4,8,3,9,0.690079054329544
"40",10,5,5,4,8,1,1,1,9,7,7,0.866351418895647
"41",10,7,7,6,5,4,1,1,3,1,5,0.700013272697106
"42",8,5,1,1,9,8,4,2,3,2,5,0.527946828398854
"43",8,6,5,4,4,1,1,1,3,2,7,0.21313971769996
"44",4,2,2,2,5,2,2,2,3,3,7,0.19752604351379
"45",9,5,4,4,3,1,1,1,8,5,6,0.51712808967568
"46",4,1,1,1,1,1,1,1,9,4,5,0.503608203027397
"47",10,6,1,1,9,8,7,6,3,3,10,0.494757301174104
"48",5,4,3,2,2,1,1,1,7,3,5,0.19885625061579
