"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,1,1,1,9,4,3,2,6,2,1,0.462969300802797,3245.48484848485
"2",1,1,1,1,5,5,4,1,7,6,8,0.747470726026222,3135.90909090909
"3",1,1,1,1,9,4,4,4,9,4,8,0.17362693301402,3177.12121212121
"4",1,1,1,1,7,1,1,1,9,5,1,0.20839316630736,3155.60606060606
"5",1,1,1,1,10,7,6,2,1,1,10,0.890001800609753,3781.12121212121
"6",1,1,1,1,2,1,1,1,9,3,2,0.843511554878205,3145.60606060606
"7",1,1,1,1,1,1,1,1,2,1,7,0.234917006222531,3328.27272727273
"8",1,1,1,1,8,4,3,1,6,1,5,0.0408026713412255,3613.48484848485
"9",1,1,1,1,10,4,1,1,10,9,3,0.744141203351319,3171.60606060606
"10",1,1,1,1,10,9,8,3,3,3,6,0.844768506241962,3320.87878787879
"11",1,1,1,1,4,3,1,1,8,4,7,0.589353129500523,3134.51515151515
"12",1,1,1,1,4,1,1,1,9,3,1,0.7817953878548,3133.72727272727
"13",1,1,1,1,8,6,6,2,3,1,10,0.733751174993813,3644.57575757576
"14",1,1,1,1,2,1,1,1,3,2,6,0.587376491632313,3127.90909090909
"15",1,1,1,1,7,1,1,1,1,1,2,0.182109813438728,3426.57575757576
"16",1,1,1,1,9,2,1,1,3,2,7,0.278633150737733,3267
"17",1,1,1,1,7,7,2,2,9,9,1,0.770245706196874,3153.54545454545
"18",1,1,1,1,3,1,1,1,1,1,5,0.0413580478634685,3332.0303030303
"19",1,1,1,1,6,2,1,1,5,2,7,0.483435246860608,3211.36363636364
"20",1,1,1,1,2,2,2,1,9,1,4,0.754953385330737,3306.0303030303
"21",1,1,1,1,8,2,1,1,5,3,7,0.784493715269491,3204.45454545455
"22",1,1,1,1,7,7,5,3,9,7,8,0.082356508821249,3090.57575757576
"23",1,1,1,1,8,6,2,2,6,5,3,0.598600729368627,3129.06060606061
"24",1,1,1,1,3,3,3,1,3,1,5,0.459599359193817,3421.24242424242
"25",1,1,1,1,2,2,1,1,10,4,10,0.00938251451589167,3185.60606060606
"26",1,1,1,1,6,5,5,3,10,7,10,0.44879959593527,3116.63636363636
